PLAYER,BATTING_HAND,BOWLING_TYPE,PLAYING_ROLE,COUNTRY,IS_ACTIVE
SM Harwood,Right hand Bat,Right arm Fast medium,Bowler,Australia,False
SM Katich,Left hand Bat,Left arm Wrist spin,Batter,Australia,False
SM Pollock,Right hand Bat,Right arm Fast medium,Allrounder,South Africa,False
SMSM Senanayake,Right hand Bat,Right arm Offbreak,Bowler,Sri Lanka,False
SN Khan,Right hand Bat,Legbreak,Middle order Batter,India,True
SN Thakur,Right hand Bat,Right arm Medium,Bowler,India,True
SO Hetmyer,Left hand Bat,Unknown,Top order Batter,West Indies,True
SP Fleming,Left hand Bat,Unknown,Top order Batter,New Zealand,False
SP Goswami,Left hand Bat,Unknown,Wicketkeeper Batter,India,False
SP Jackson,Right hand Bat,Unknown,Wicketkeeper Batter,India,False
SP Narine,Left hand Bat,Right arm Offbreak,Bowling Allrounder,West Indies,True
SPD Smith,Right hand Bat,Legbreak Googly,Middle order Batter,Australia,False
SR Dubey,Unknown,Unknown,Unknown,Unknown,True
SR Tendulkar,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,India,False
SR Watson,Right hand Bat,Right arm Fast medium,Allrounder,Australia,False
SS Agarwal,Right hand Bat,Legbreak Googly,Unknown,India,False
SS Cottrell,Right hand Bat,Left arm Fast medium,Bowler,West Indies,False
SS Iyer,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,India,True
SS Mishra,Unknown,Unknown,Unknown,Unknown,True
SS Mundhe,Right hand Bat,Right arm Medium,Allrounder,India,False
SS Prabhudessai,Right hand Bat,Right arm Medium,Batting Allrounder,India,False
SS Sarkar,Right hand Bat,Right arm Medium,Bowler,India,False
SS Shaikh,Right hand Bat,Right arm Medium,Unknown,India,False
SS Tiwary,Left hand Bat,Unknown,Top order Batter,India,False
SSB Magala,Right hand Bat,Right arm Fast medium,Bowler,South Africa,False
ST Jayasuriya,Left hand Bat,Slow Left arm Orthodox,Allrounder,Sri Lanka,False
STR Binny,Right hand Bat,Right arm Medium,Allrounder,India,False
SU Parakh,Unknown,Unknown,Unknown,Unknown,True
SV Samson,Right hand Bat,Unknown,Wicketkeeper Batter,India,True
SW Billings,Right hand Bat,Unknown,Wicketkeeper Batter,England,False
SW Tait,Right hand Bat,Right arm Fast,Bowler,Australia,False
SZ Mulani,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,False
Sachin Baby,Left hand Bat,Right arm Offbreak,Batter,India,False
Sakib Hussain,Right hand Bat,Right arm Medium,Unknown,India,True
Salil Arora,Unknown,Unknown,Unknown,Unknown,True
Salman Butt,Left hand Bat,Right arm Offbreak,Batter,Pakistan,False
Sameer Rizvi,Right hand Bat,Right arm Offbreak,Unknown,India,True
Sandeep Sharma,Right hand Bat,Right arm Medium,Bowler,India,True
Sanvir Singh,Right hand Bat,Right arm Medium,Allrounder,India,False
Saurav Chauhan,Left hand Bat,Right arm Offbreak,Unknown,India,False
Sediqullah Atal,Left hand Bat,Unknown,Opening Batter,Afghanistan,False
Shahbaz Ahmed,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,True
Shahid Afridi,Right hand Bat,Legbreak Googly,Allrounder,Pakistan,False
Shakib Al Hasan,Left hand Bat,Slow Left arm Orthodox,Allrounder,Bangladesh,False
Shashank Singh,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batting Allrounder,India,True
Shivam Mavi,Right hand Bat,Right arm Fast medium,Bowler,India,False
Shivam Sharma,Right hand Bat,Right arm Offbreak,Unknown,India,False
Shivam Singh,Right-hand bat,Right-arm offbreak,Unknown,India,False
Shivang Kumar,Unknown,Unknown,Unknown,Unknown,True
Shoaib Ahmed,Right hand Bat,Right arm Fast medium,Unknown,India,False
Shoaib Akhtar,Right hand Bat,Right arm Fast,Bowler,Pakistan,False
Shoaib Malik,Right hand Bat,Right arm Offbreak,Allrounder,Pakistan,False
Shubman Gill,Right hand Bat,Right arm Offbreak,Opening Batter,India,True
Sikandar Raza,Right hand Bat,Right arm Offbreak,Batting Allrounder,Zimbabwe,False
Simarjeet Singh,Right hand Bat,Right arm Medium fast,Bowler,India,False
Sohail Tanvir,Left hand Bat,Left arm Medium fast,Bowler,Pakistan,False
