PLAYER,BATTING_HAND,BOWLING_TYPE,PLAYING_ROLE,COUNTRY,IS_ACTIVE
I Sharma,Right hand Bat,Right arm Fast medium,Bowler,India,False
I Udana,Right hand Bat,Left arm Medium fast,Allrounder,Sri Lanka,False
IC Pandey,Right hand Bat,Right arm Medium,Bowler,India,False
IC Porel,Right hand Bat,Right arm Medium,Bowler,India,False
IK Pathan,Left hand Bat,Left arm Medium fast,Allrounder,India,False
IR Jaggi,Right hand Bat,Legbreak Googly,Batter,India,False
IS Sodhi,Right hand Bat,Legbreak,Bowler,New Zealand,False
Imran Tahir,Right hand Bat,Legbreak Googly,Bowler,South Africa,False
Iqbal Abdulla,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,False
Ishan Kishan,Left hand Bat,Unknown,Wicketkeeper Batter,India,True
J Arunkumar,Right hand Bat,Right arm Offbreak,Unknown,India,False
J Botha,Right hand Bat,Right arm Offbreak,Allrounder,South Africa,False
